fiscal_year,year,month,scheme,interest_rate,units,note
2006-07,2007,February,Public Provident Fund,8,interest_rate in percentage,
2006-07,2007,March,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,April,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,May,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,June,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,July,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,August,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,September,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,October,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,November,Public Provident Fund,8,interest_rate in percentage,
2007-08,2007,December,Public Provident Fund,8,interest_rate in percentage,
2005-06,2006,January,Public Provident Fund,8,interest_rate in percentage,
2005-06,2006,February,Public Provident Fund,8,interest_rate in percentage,
2005-06,2006,March,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,April,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,May,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,June,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,July,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,August,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,September,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,October,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,November,Public Provident Fund,8,interest_rate in percentage,
2006-07,2006,December,Public Provident Fund,8,interest_rate in percentage,
2004-05,2005,January,Public Provident Fund,8,interest_rate in percentage,
2004-05,2005,February,Public Provident Fund,8,interest_rate in percentage,
2004-05,2005,March,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,April,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,May,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,June,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,July,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,August,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,September,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,October,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,November,Public Provident Fund,8,interest_rate in percentage,
2005-06,2005,December,Public Provident Fund,8,interest_rate in percentage,
2003-04,2004,January,Public Provident Fund,8,interest_rate in percentage,
2003-04,2004,February,Public Provident Fund,8,interest_rate in percentage,
2003-04,2004,March,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,April,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,May,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,June,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,July,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,August,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,September,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,October,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,November,Public Provident Fund,8,interest_rate in percentage,
2004-05,2004,December,Public Provident Fund,8,interest_rate in percentage,
2002-03,2003,January,Public Provident Fund,9,interest_rate in percentage,
2002-03,2003,February,Public Provident Fund,9,interest_rate in percentage,
2002-03,2003,March,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,April,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,May,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,June,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,July,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,August,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,September,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,October,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,November,Public Provident Fund,8,interest_rate in percentage,
2003-04,2003,December,Public Provident Fund,8,interest_rate in percentage,
2001-02,2002,January,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2002,February,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2002,March,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,April,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,May,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,June,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,July,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,August,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,September,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,October,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,November,Public Provident Fund,9,interest_rate in percentage,
2002-03,2002,December,Public Provident Fund,9,interest_rate in percentage,
2000-01,2001,January,Public Provident Fund,11,interest_rate in percentage,
2000-01,2001,February,Public Provident Fund,11,interest_rate in percentage,
2000-01,2001,March,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,April,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,May,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,June,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,July,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,August,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,September,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,October,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,November,Public Provident Fund,9.5,interest_rate in percentage,
2001-02,2001,December,Public Provident Fund,9.5,interest_rate in percentage,
1999-00,2000,January,Public Provident Fund,12,interest_rate in percentage,interest_rate: 12% till January 15 and 11% till january 31
1999-00,2000,February,Public Provident Fund,11,interest_rate in percentage,
1999-00,2000,March,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,April,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,May,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,June,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,July,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,August,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,September,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,October,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,November,Public Provident Fund,11,interest_rate in percentage,
2000-01,2000,December,Public Provident Fund,11,interest_rate in percentage,
1998-99,1999,January,Public Provident Fund,12,interest_rate in percentage,
1998-99,1999,February,Public Provident Fund,12,interest_rate in percentage,
1998-99,1999,March,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,April,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,May,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,June,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,July,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,August,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,September,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,October,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,November,Public Provident Fund,12,interest_rate in percentage,
1999-00,1999,December,Public Provident Fund,12,interest_rate in percentage,
1997-98,1998,January,Public Provident Fund,12,interest_rate in percentage,
1997-98,1998,February,Public Provident Fund,12,interest_rate in percentage,
1997-98,1998,March,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,April,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,May,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,June,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,July,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,August,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,September,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,October,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,November,Public Provident Fund,12,interest_rate in percentage,
1998-99,1998,December,Public Provident Fund,12,interest_rate in percentage,
1996-97,1997,January,Public Provident Fund,12,interest_rate in percentage,
1996-97,1997,February,Public Provident Fund,12,interest_rate in percentage,
1996-97,1997,March,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,April,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,May,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,June,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,July,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,August,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,September,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,October,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,November,Public Provident Fund,12,interest_rate in percentage,
1997-98,1997,December,Public Provident Fund,12,interest_rate in percentage,
